year,state,region_type,region,crop_category,total_area_grown_ha,irrigated_area_ha,water_applied_ml,water_intensity_ml_per_ha,agricultural_businesses_estimate,source,notes,region_key,water_source,awd_ml_per_share,carry_over_ml_per_share,cumulative_allocation_ml_per_share,total_balance_ml_per_share,storage_value
2020-21,nsw,nrm,murray,cotton,2774.77,2654.77,22258.96,8.385,10.58,ABS Water Use on Australian Farms 2020-21,,murray,murray,0.03,0.24,0.15,0.39,0
2020-21,nsw,nrm,murray,rice,14681.95,14681.95,189520.06,12.908,156.53,ABS Water Use on Australian Farms 2020-21,,murray,murray,0.03,0.24,0.15,0.39,0
2020-21,nsw,nrm,north coast,grains & oilseeds,4057.07,137.83,87.28,0.633,3.44,ABS Water Use on Australian Farms 2020-21,Grains category is cereals excluding rice; oilseeds not separately included,north_coast,murray,0.03,0.24,0.15,0.39,0
2020-21,nsw,nrm,north coast,pasture & livestock feed,597915.33,4665.39,9804.07,2.101,123.66,ABS Water Use on Australian Farms 2020-21,Combined grazing/fed-off + hay/silage ABS categories,north_coast,murray,0.03,0.24,0.15,0.39,0
2020-21,nsw,nrm,north coast,vegetables,1073.03,286.44,650.15,2.27,86.29,ABS Water Use on Australian Farms 2020-21,,north_coast,murray,0.03,0.24,0.15,0.39,0
2020-21,nsw,nrm,north coast,grapes & vineyards,38.8,13.83,41.5,3.001,1.16,ABS Water Use on Australian Farms 2020-21,,north_coast,murray,0.03,0.24,0.15,0.39,0
2020-21,nsw,nrm,north coast,fruit & nuts,16449.13,4868.54,8617.89,1.77,240.74,ABS Water Use on Australian Farms 2020-21,,north_coast,murray,0.03,0.24,0.15,0.39,0
2020-21,nsw,nrm,north coast,rice,503.32,503.32,3325.01,6.606,17.6,ABS Water Use on Australian Farms 2020-21,,north_coast,murray,0.03,0.24,0.15,0.39,0
2020-21,nsw,nrm,north west nsw,grains & oilseeds,1729502.05,25201.31,31956.54,1.268,92.16,ABS Water Use on Australian Farms 2020-21,Grains category is cereals excluding rice; oilseeds not separately included,north_west_nsw,lower_namoi,0.0,1.46,0.0,1.46,0
2020-21,nsw,nrm,north west nsw,pasture & livestock feed,3239977.88,8146.63,15456.19,1.897,159.11,ABS Water Use on Australian Farms 2020-21,Combined grazing/fed-off + hay/silage ABS categories,north_west_nsw,lower_namoi,0.0,1.46,0.0,1.46,0
