year,state,region_type,region,crop_category,total_area_grown_ha,irrigated_area_ha,water_applied_ml,water_intensity_ml_per_ha,agricultural_businesses_estimate,source,notes
2020-21,NSW,NRM,North Coast,Rice,503.32,503.32,3325.01,6.606,17.6,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,North West NSW,Grains & Oilseeds,1729502.05,25201.31,31956.54,1.268,92.16,ABS Water Use on Australian Farms 2020-21,Grains category is cereals excluding rice; oilseeds not separately included
2020-21,NSW,NRM,North West NSW,Pasture & Livestock Feed,3239977.88,8146.63,15456.19,1.897,159.11,ABS Water Use on Australian Farms 2020-21,Combined grazing/fed-off + hay/silage ABS categories
2020-21,NSW,NRM,North West NSW,Vegetables,4.32,1.35,2.7,2,1.35,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,North West NSW,Grapes & Vineyards,42.62,1.52,0.64,0.421,1.37,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,North West NSW,Fruit & Nuts,2066.59,1684.04,8372.53,4.972,7.15,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,North West NSW,Cotton,102966.83,60983.52,300722.17,4.931,192.51,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,North West NSW,Rice,16.87,16.87,168.69,9.999,1.2,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,Northern Tablelands,Grains & Oilseeds,63166.14,590.38,767.19,1.299,10.24,ABS Water Use on Australian Farms 2020-21,Grains category is cereals excluding rice; oilseeds not separately included
2020-21,NSW,NRM,Northern Tablelands,Pasture & Livestock Feed,1863140.84,2505.35,5157.37,2.059,55.24,ABS Water Use on Australian Farms 2020-21,Combined grazing/fed-off + hay/silage ABS categories
2020-21,NSW,NRM,Northern Tablelands,Vegetables,532.36,321.89,827.82,2.572,7.11,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,Northern Tablelands,Grapes & Vineyards,117.43,14.91,35.93,2.41,2.37,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,Northern Tablelands,Fruit & Nuts,723.43,702.38,2091.69,2.978,10.31,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,Northern Tablelands,Cotton,1499.3,1484.12,5046.68,3.4,6.65,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,Northern Tablelands,Rice,0,0,0,,,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,Riverina,Grains & Oilseeds,1316673.2,69935.96,197157.38,2.819,216.68,ABS Water Use on Australian Farms 2020-21,Grains category is cereals excluding rice; oilseeds not separately included
2020-21,NSW,NRM,Riverina,Pasture & Livestock Feed,3517891.97,18196.67,59853.63,3.289,238.27,ABS Water Use on Australian Farms 2020-21,Combined grazing/fed-off + hay/silage ABS categories
2020-21,NSW,NRM,Riverina,Vegetables,2780.42,1424.24,6807.71,4.78,17.85,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,Riverina,Grapes & Vineyards,15169.25,14319.13,60066.78,4.195,213.4,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,Riverina,Fruit & Nuts,18870.37,17907.89,107448.37,6,293.81,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,Riverina,Cotton,22702.16,22683.33,225435.73,9.938,82.97,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,Riverina,Rice,22066.67,22066.67,261610.23,11.855,159.7,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,South East NSW,Grains & Oilseeds,53092.45,214.87,140.95,0.656,2.49,ABS Water Use on Australian Farms 2020-21,Grains category is cereals excluding rice; oilseeds not separately included
2020-21,NSW,NRM,South East NSW,Pasture & Livestock Feed,1594789.11,7663.39,16196.51,2.113,114.34,ABS Water Use on Australian Farms 2020-21,Combined grazing/fed-off + hay/silage ABS categories
2020-21,NSW,NRM,South East NSW,Vegetables,403.38,302.49,1008.45,3.334,27.03,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,South East NSW,Grapes & Vineyards,362.37,274.71,597.39,2.175,40.44,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,South East NSW,Fruit & Nuts,576.09,251.05,488.84,1.947,29.47,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,South East NSW,Cotton,0,0,0,,,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,South East NSW,Rice,0,0,0,,,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,State,New South Wales,Grains & Oilseeds,5994137.44,208412.77,462355.63,2.218,727.57,ABS Water Use on Australian Farms 2020-21,Grains category is cereals excluding rice; oilseeds not separately included
2020-21,NSW,State,New South Wales,Pasture & Livestock Feed,41009783.49,167281.92,393402.81,2.352,2058.99,ABS Water Use on Australian Farms 2020-21,Combined grazing/fed-off + hay/silage ABS categories
