year,state,region_type,region,crop_category,total_area_grown_ha,irrigated_area_ha,water_applied_ml,water_intensity_ml_per_ha,agricultural_businesses_estimate,source,notes
2018-19,NSW,NRM,Murray,Grains & Oilseeds,,,,,,ABS Water Use on Australian Farms 2018-19,Grains category is cereals excluding rice; oilseeds not separately included
2018-19,NSW,NRM,Murray,Pasture & Livestock Feed,2099912.04,61908.65,141877.59,2.292,472.28,ABS Water Use on Australian Farms 2018-19,Combined grazing/fed-off + hay/silage ABS categories
2018-19,NSW,NRM,Murray,Vegetables,,,,,,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Murray,Grapes & Vineyards,1072.29,933.6,4429.43,4.744,45.47,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Murray,Fruit & Nuts,3631.21,3579.96,18943.78,5.292,23.15,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Murray,Cotton,,1663.93,14188.46,8.527,7.8,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Murray,Rice,2790.64,2790.64,22853.91,8.189,18.03,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,North Coast,Grains & Oilseeds,,,,,,ABS Water Use on Australian Farms 2018-19,Grains category is cereals excluding rice; oilseeds not separately included
2018-19,NSW,NRM,North Coast,Pasture & Livestock Feed,522805.75,5189.19,5980.66,1.153,96.26,ABS Water Use on Australian Farms 2018-19,Combined grazing/fed-off + hay/silage ABS categories
2018-19,NSW,NRM,North Coast,Vegetables,,,,,,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,North Coast,Grapes & Vineyards,,,,,,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,North Coast,Fruit & Nuts,15866.6,6245.87,8118.68,1.3,386.8,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,North Coast,Cotton,,,,,,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,North Coast,Rice,,,,,,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,North West NSW,Grains & Oilseeds,,,,,,ABS Water Use on Australian Farms 2018-19,Grains category is cereals excluding rice; oilseeds not separately included
2018-19,NSW,NRM,North West NSW,Pasture & Livestock Feed,3644912.91,2338.39,8280.45,3.541,61.4,ABS Water Use on Australian Farms 2018-19,Combined grazing/fed-off + hay/silage ABS categories
2018-19,NSW,NRM,North West NSW,Vegetables,,,,,,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,North West NSW,Grapes & Vineyards,1.41,1.41,5.64,4,1.41,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,North West NSW,Fruit & Nuts,2857.35,2178.79,13184.57,6.051,14.96,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,North West NSW,Cotton,,54958.01,359796.71,6.547,199.09,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,North West NSW,Rice,,,,,,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Northern Tablelands,Grains & Oilseeds,,,,,,ABS Water Use on Australian Farms 2018-19,Grains category is cereals excluding rice; oilseeds not separately included
2018-19,NSW,NRM,Northern Tablelands,Pasture & Livestock Feed,1629467.61,297.87,1326.95,4.455,5.74,ABS Water Use on Australian Farms 2018-19,Combined grazing/fed-off + hay/silage ABS categories
2018-19,NSW,NRM,Northern Tablelands,Vegetables,,,,,,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Northern Tablelands,Grapes & Vineyards,,,,,,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Northern Tablelands,Fruit & Nuts,629.29,590.65,808.32,1.369,9.07,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Northern Tablelands,Cotton,,1062.38,9095.09,8.561,8.67,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Northern Tablelands,Rice,,,,,,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Riverina,Grains & Oilseeds,,,,,,ABS Water Use on Australian Farms 2018-19,Grains category is cereals excluding rice; oilseeds not separately included
2018-19,NSW,NRM,Riverina,Pasture & Livestock Feed,2584270.08,8201.93,29740.74,3.626,163.09,ABS Water Use on Australian Farms 2018-19,Combined grazing/fed-off + hay/silage ABS categories
2018-19,NSW,NRM,Riverina,Vegetables,,,,,,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Riverina,Grapes & Vineyards,19596.08,15560.17,77805.73,5,284.25,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Riverina,Fruit & Nuts,16336.39,13930.98,97550.42,7.002,318.24,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Riverina,Cotton,,43638.63,355933.76,8.156,140.99,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Riverina,Rice,3817.22,3817.22,44748.71,11.723,34.22,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,South East NSW,Grains & Oilseeds,,,,,,ABS Water Use on Australian Farms 2018-19,Grains category is cereals excluding rice; oilseeds not separately included
2018-19,NSW,NRM,South East NSW,Pasture & Livestock Feed,1434332.32,3234.25,4261.72,1.318,81.04,ABS Water Use on Australian Farms 2018-19,Combined grazing/fed-off + hay/silage ABS categories
2018-19,NSW,NRM,South East NSW,Vegetables,,,,,,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,South East NSW,Grapes & Vineyards,646.05,597.18,2163.77,3.623,67.19,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,South East NSW,Fruit & Nuts,375.34,8.53,9.07,1.063,11.71,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,South East NSW,Cotton,,,,,,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,South East NSW,Rice,140.31,140.31,1683.69,12,2.34,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Western,Grains & Oilseeds,,,,,,ABS Water Use on Australian Farms 2018-19,Grains category is cereals excluding rice; oilseeds not separately included
2018-19,NSW,NRM,Western,Pasture & Livestock Feed,21796185.56,4583.44,14434.79,3.149,52.89,ABS Water Use on Australian Farms 2018-19,Combined grazing/fed-off + hay/silage ABS categories
2018-19,NSW,NRM,Western,Vegetables,,,,,,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Western,Grapes & Vineyards,7359.35,7242.98,59283.37,8.185,143.59,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Western,Fruit & Nuts,7595.15,7534.28,68576.22,9.102,94.51,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Western,Cotton,,5011.35,56182.87,11.211,8.44,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Western,Rice,,,,,,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,State,New South Wales,Grains & Oilseeds,,,,,,ABS Water Use on Australian Farms 2018-19,Grains category is cereals excluding rice; oilseeds not separately included
2018-19,NSW,State,New South Wales,Pasture & Livestock Feed,40366559.98,132210.52,315343.87,2.385,1405.3,ABS Water Use on Australian Farms 2018-19,Combined grazing/fed-off + hay/silage ABS categories
2018-19,NSW,State,New South Wales,Vegetables,,,,,,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,State,New South Wales,Grapes & Vineyards,33393.81,28739.54,151141.02,5.259,729.91,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,State,New South Wales,Fruit & Nuts,49676.41,35493.08,211548.27,5.96,1013.86,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,State,New South Wales,Cotton,,132256.25,1034489.82,7.822,450.59,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,State,New South Wales,Rice,6748.17,6748.17,69286.31,10.267,54.59,ABS Water Use on Australian Farms 2018-19,
2017-18,NSW,NRM,Central Tablelands,Grains & Oilseeds,98512.2,960.93,4126.52,4.294,13.44,ABS Water Use on Australian Farms 2017-18,Grains category is other cereals for grain or seed; oilseeds not separately included
2017-18,NSW,NRM,Central Tablelands,Pasture & Livestock Feed,1394833.7,2943,8691.69,2.953,33.71,ABS Water Use on Australian Farms 2017-18,Combined grazing/fed-off + hay + silage ABS categories
2017-18,NSW,NRM,Central Tablelands,Vegetables,1474.07,957.21,3514.23,3.671,25.04,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Central Tablelands,Grapes & Vineyards,2200.8,2138.4,3832.36,1.792,32.46,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Central Tablelands,Fruit & Nuts,1132.59,758.09,988.57,1.304,54.85,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Central Tablelands,Cotton,,,,,,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Central Tablelands,Rice,,,,,,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Central West,Grains & Oilseeds,1220039.17,8098.98,7872.34,0.972,65.42,ABS Water Use on Australian Farms 2017-18,Grains category is other cereals for grain or seed; oilseeds not separately included
2017-18,NSW,NRM,Central West,Pasture & Livestock Feed,4794535.59,10915.04,24698.37,2.263,65.96,ABS Water Use on Australian Farms 2017-18,Combined grazing/fed-off + hay + silage ABS categories
2017-18,NSW,NRM,Central West,Vegetables,1578.31,1575.24,13059.65,8.291,28.71,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Central West,Grapes & Vineyards,151.51,21.51,17.83,0.829,3.07,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Central West,Fruit & Nuts,250.81,33.81,267.38,7.908,3.07,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Central West,Cotton,32123.83,31351.39,282625.98,9.015,80.6,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Central West,Rice,185.49,185.49,2473.23,13.333,3.09,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Greater Sydney,Grains & Oilseeds,9.57,,,,,ABS Water Use on Australian Farms 2017-18,Grains category is other cereals for grain or seed; oilseeds not separately included
2017-18,NSW,NRM,Greater Sydney,Pasture & Livestock Feed,19784.56,986.16,1359.08,1.378,34.68,ABS Water Use on Australian Farms 2017-18,Combined grazing/fed-off + hay + silage ABS categories
2017-18,NSW,NRM,Greater Sydney,Vegetables,4023.99,3409.37,8111.64,2.379,406.95,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Greater Sydney,Grapes & Vineyards,,,,,,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Greater Sydney,Fruit & Nuts,915.4,662.29,2214.68,3.344,73.68,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Greater Sydney,Cotton,,,,,,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Greater Sydney,Rice,,,,,,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Hunter,Grains & Oilseeds,9829.74,253.52,1155.96,4.56,4.77,ABS Water Use on Australian Farms 2017-18,Grains category is other cereals for grain or seed; oilseeds not separately included
2017-18,NSW,NRM,Hunter,Pasture & Livestock Feed,831676.77,11823.64,30769.31,2.602,207.1,ABS Water Use on Australian Farms 2017-18,Combined grazing/fed-off + hay + silage ABS categories
2017-18,NSW,NRM,Hunter,Vegetables,97.38,71.28,241.24,3.384,11.1,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Hunter,Grapes & Vineyards,1453.09,1344.34,1578.41,1.174,59.49,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Hunter,Fruit & Nuts,103.07,32.36,209.4,6.471,7.59,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Hunter,Cotton,,,,,,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Hunter,Rice,,,,,,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Murray,Grains & Oilseeds,574845.77,84904.4,153332.93,1.806,301.94,ABS Water Use on Australian Farms 2017-18,Grains category is other cereals for grain or seed; oilseeds not separately included
2017-18,NSW,NRM,Murray,Pasture & Livestock Feed,2252237.92,79088.3,188335.08,2.381,558.54,ABS Water Use on Australian Farms 2017-18,Combined grazing/fed-off + hay + silage ABS categories
2017-18,NSW,NRM,Murray,Vegetables,1962.09,1653.51,10195.72,6.166,26.26,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Murray,Grapes & Vineyards,959.72,908.97,3840.2,4.225,23.97,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Murray,Fruit & Nuts,6369.97,6105.21,24827.67,4.067,34.69,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Murray,Cotton,2640.47,2640.47,20118.22,7.619,7.25,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Murray,Rice,29750.87,29750.87,368689.04,12.393,248.16,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,North Coast,Grains & Oilseeds,540.58,,,,,ABS Water Use on Australian Farms 2017-18,Grains category is other cereals for grain or seed; oilseeds not separately included
2017-18,NSW,NRM,North Coast,Pasture & Livestock Feed,649147.79,5514.16,8216.84,1.49,99.47,ABS Water Use on Australian Farms 2017-18,Combined grazing/fed-off + hay + silage ABS categories
2017-18,NSW,NRM,North Coast,Vegetables,569.97,485.4,1707.62,3.518,115.13,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,North Coast,Grapes & Vineyards,,,,,,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,North Coast,Fruit & Nuts,14102.54,5343.71,6745.06,1.262,295.41,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,North Coast,Cotton,,,,,,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,North Coast,Rice,161.3,161.3,268.83,1.667,26.88,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,North West NSW,Grains & Oilseeds,840066.14,26313.09,29545.61,1.123,100.78,ABS Water Use on Australian Farms 2017-18,Grains category is other cereals for grain or seed; oilseeds not separately included
2017-18,NSW,NRM,North West NSW,Pasture & Livestock Feed,2878781.59,1872.92,3832.77,2.046,64.21,ABS Water Use on Australian Farms 2017-18,Combined grazing/fed-off + hay + silage ABS categories
2017-18,NSW,NRM,North West NSW,Vegetables,53.02,32.01,37.02,1.157,2.1,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,North West NSW,Grapes & Vineyards,,,,,,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,North West NSW,Fruit & Nuts,822.7,370.05,1462.89,3.953,4.52,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,North West NSW,Cotton,196414.71,128692.04,913925.79,7.102,230.85,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,North West NSW,Rice,80,80,68,0.85,1,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Northern Tablelands,Grains & Oilseeds,65970.53,1446.73,3364.31,2.325,5.21,ABS Water Use on Australian Farms 2017-18,Grains category is other cereals for grain or seed; oilseeds not separately included
2017-18,NSW,NRM,Northern Tablelands,Pasture & Livestock Feed,1591949.06,1923.48,1861.27,0.968,12.12,ABS Water Use on Australian Farms 2017-18,Combined grazing/fed-off + hay + silage ABS categories
2017-18,NSW,NRM,Northern Tablelands,Vegetables,1048.38,609.01,1291.39,2.12,11.34,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Northern Tablelands,Grapes & Vineyards,0.8,,,,,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Northern Tablelands,Fruit & Nuts,266.76,254.64,409.76,1.609,6.5,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Northern Tablelands,Cotton,5350.72,3497.87,25156.91,7.192,17.28,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Northern Tablelands,Rice,521.38,521.38,6932.87,13.297,10.29,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Riverina,Grains & Oilseeds,1082287.85,69984.46,178670.67,2.553,278.99,ABS Water Use on Australian Farms 2017-18,Grains category is other cereals for grain or seed; oilseeds not separately included
2017-18,NSW,NRM,Riverina,Pasture & Livestock Feed,3033311.73,22399.18,57407.21,2.563,238.91,ABS Water Use on Australian Farms 2017-18,Combined grazing/fed-off + hay + silage ABS categories
2017-18,NSW,NRM,Riverina,Vegetables,3947.73,2341.83,11267.18,4.811,36.96,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Riverina,Grapes & Vineyards,20646.98,19558.61,81285.33,4.156,295.28,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Riverina,Fruit & Nuts,14431.74,13123.38,87182.21,6.643,305.78,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Riverina,Cotton,55602.93,55602.93,536106.75,9.642,180.74,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Riverina,Rice,29355.96,29355.96,346899.49,11.817,264.63,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,South East NSW,Grains & Oilseeds,17903.69,,,,,ABS Water Use on Australian Farms 2017-18,Grains category is other cereals for grain or seed; oilseeds not separately included
2017-18,NSW,NRM,South East NSW,Pasture & Livestock Feed,1414258.41,2855.58,6404.15,2.243,51.6,ABS Water Use on Australian Farms 2017-18,Combined grazing/fed-off + hay + silage ABS categories
2017-18,NSW,NRM,South East NSW,Vegetables,363.46,308.74,1411.46,4.572,35.11,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,South East NSW,Grapes & Vineyards,297.62,188.52,155.13,0.823,22.92,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,South East NSW,Fruit & Nuts,190.38,36.94,21.96,0.594,14.14,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,South East NSW,Cotton,,,,,,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,South East NSW,Rice,,,,,,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Western,Grains & Oilseeds,171609.78,3992.48,14625.51,3.663,17.21,ABS Water Use on Australian Farms 2017-18,Grains category is other cereals for grain or seed; oilseeds not separately included
2017-18,NSW,NRM,Western,Pasture & Livestock Feed,22339361.45,1660.3,8236.68,4.961,53.35,ABS Water Use on Australian Farms 2017-18,Combined grazing/fed-off + hay + silage ABS categories
2017-18,NSW,NRM,Western,Vegetables,913.37,800.13,5540.19,6.924,36.59,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Western,Grapes & Vineyards,8666.36,8557.44,65844.9,7.694,145.99,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Western,Fruit & Nuts,4882.47,4815.83,42415.83,8.808,86.78,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Western,Cotton,9826.13,9826.13,109731.51,11.167,16.14,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,NRM,Western,Rice,,,,,,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,State,New South Wales,Grains & Oilseeds,4081615.02,195954.6,392693.84,2.004,787.77,ABS Water Use on Australian Farms 2017-18,Grains category is other cereals for grain or seed; oilseeds not separately included
2017-18,NSW,State,New South Wales,Pasture & Livestock Feed,41199878.55,141981.76,339812.46,2.393,1419.65,ABS Water Use on Australian Farms 2017-18,Combined grazing/fed-off + hay + silage ABS categories
2017-18,NSW,State,New South Wales,Vegetables,16031.78,12243.72,56377.34,4.605,735.31,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,State,New South Wales,Grapes & Vineyards,34376.88,32717.8,156554.16,4.785,583.18,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,State,New South Wales,Fruit & Nuts,43468.43,31536.31,166745.41,5.287,887.01,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,State,New South Wales,Cotton,301958.78,231610.83,1887665.17,8.15,532.86,ABS Water Use on Australian Farms 2017-18,
2017-18,NSW,State,New South Wales,Rice,60055,60055,725331.47,12.078,554.05,ABS Water Use on Australian Farms 2017-18,
